item,field,node,haskell,result
"2040 2019","title","""2040 2019""","""2040 2019""","PASS"
"2040 2019","type","""movie""","""movie""","PASS"
"2040 2019","year","""""","""""","PASS"
"2040 2019","rating","""""","""""","PASS"
"2040 2019","runtime","""""","""""","PASS"
"2040 2019","language","""""","""""","PASS"
"2040 2019","genre","""""","""""","PASS"
"2040 2019","poster","false","false","PASS"
"2040 2019","backdrop","false","false","PASS"
"2040 2019","overview","false","false","PASS"
"2040 2019","ratingsCount","0","0","PASS"
"2040 2019","castCount","0","0","PASS"
"2040 2019","crewCount","0","0","PASS"
"2040 2019","trailersCount","0","0","PASS"
"2040 2019","similarCount","18","18","PASS"
"2040 2019","productionCompaniesCount","0","0","PASS"
"2040 2019","moreByDirectorCount","0","0","PASS"
"2040 2019","aboutCount","0","0","PASS"
"The Hunt for Gollum (2009)","title","""The Lord of the Rings: The Hunt for Gollum""","""The Lord of the Rings: The Hunt for Gollum""","PASS"
"The Hunt for Gollum (2009)","type","""movie""","""movie""","PASS"
"The Hunt for Gollum (2009)","year","""2027""","""2027""","PASS"
"The Hunt for Gollum (2009)","rating","""""","""""","PASS"
"The Hunt for Gollum (2009)","runtime","""""","""""","PASS"
"The Hunt for Gollum (2009)","language","""English""","""English""","PASS"
"The Hunt for Gollum (2009)","genre","""Fantasy, Adventure, Action""","""Fantasy, Adventure, Action""","PASS"
"The Hunt for Gollum (2009)","poster","true","true","PASS"
"The Hunt for Gollum (2009)","backdrop","true","true","PASS"
"The Hunt for Gollum (2009)","overview","true","true","PASS"
"The Hunt for Gollum (2009)","ratingsCount","0","0","PASS"
"The Hunt for Gollum (2009)","castCount","7","7","PASS"
"The Hunt for Gollum (2009)","crewCount","8","8","PASS"
"The Hunt for Gollum (2009)","trailersCount","0","0","PASS"
"The Hunt for Gollum (2009)","similarCount","24","24","PASS"
"The Hunt for Gollum (2009)","productionCompaniesCount","7","7","PASS"
"The Hunt for Gollum (2009)","moreByDirectorCount","9","9","PASS"
"The Hunt for Gollum (2009)","aboutCount","6","6","PASS"
"From the Ashes (Jaras Enzar) (2024)","title","""From the Ashes (Jaras Enzar) (2024)""","""From the Ashes (Jaras Enzar) (2024)""","PASS"
"From the Ashes (Jaras Enzar) (2024)","type","""movie""","""movie""","PASS"
"From the Ashes (Jaras Enzar) (2024)","year","""2027""","""2027""","PASS"
"From the Ashes (Jaras Enzar) (2024)","rating","""""","""""","PASS"
"From the Ashes (Jaras Enzar) (2024)","runtime","""""","""""","PASS"
"From the Ashes (Jaras Enzar) (2024)","language","""""","""""","PASS"
"From the Ashes (Jaras Enzar) (2024)","genre","""""","""""","PASS"
"From the Ashes (Jaras Enzar) (2024)","poster","true","true","PASS"
