kind	id	title	year	titleYear	status	matchedKey	candidateKeys
movie	ftp_0	2040 2019	2040		MISS		movie:2040 2019:2040 | movie:ftp_0:2040 | movie:2040 2019:
movie	ftp_1	The Hunt for Gollum (2009)	2027	2009	HIT_EXACT	movie:The Hunt for Gollum:2027	movie:The Hunt for Gollum:2009 | movie:The Hunt for Gollum:2027 | movie:The Hunt for Gollum (2009):2009 | movie:The Hunt for Gollum (2009):2027 | movie:ftp_1:2009 | movie:ftp_1:2027 | movie:The Hunt for Gollum: | movie:The Hunt for Gollum (2009):
movie	ftp_2	From the Ashes (Jaras Enzar) (2024)	2027	2024	MISS		movie:From the Ashes:2024 | movie:From the Ashes:2027 | movie:From the Ashes (Jaras Enzar):2024 | movie:From the Ashes (Jaras Enzar):2027 | movie:From the Ashes (Jaras Enzar) (2024):2024 | movie:From the Ashes (Jaras Enzar) (2024):2027 | movie:ftp_2:2024 | movie:ftp_2:2027 | movie:From the Ashes: | movie:From the Ashes (Jaras Enzar): | movie:From the Ashes (Jaras Enzar) (2024):
movie	ftp_3	Hamlet (1996)	2026	1996	MISS		movie:Hamlet:1996 | movie:Hamlet:2026 | movie:Hamlet (1996):1996 | movie:Hamlet (1996):2026 | movie:ftp_3:1996 | movie:ftp_3:2026 | movie:Hamlet: | movie:Hamlet (1996):
movie	ftp_4	Go (2007)	2007	2007	HIT_EXACT	movie:Go:2007	movie:Go:2007 | movie:Go (2007):2007 | movie:ftp_4:2007 | movie:Go: | movie:Go (2007):
movie	ftp_5	Heaven (2022)	2026	2022	MISS		movie:Heaven:2022 | movie:Heaven:2026 | movie:Heaven (2022):2022 | movie:Heaven (2022):2026 | movie:ftp_5:2022 | movie:ftp_5:2026 | movie:Heaven: | movie:Heaven (2022):
movie	ftp_6	Broken (2021)	2026	2021	MISS		movie:Broken:2021 | movie:Broken:2026 | movie:Broken (2021):2021 | movie:Broken (2021):2026 | movie:ftp_6:2021 | movie:ftp_6:2026 | movie:Broken: | movie:Broken (2021):
movie	ftp_7	The Internship (2026)	2026	2026	MISS		movie:The Internship:2026 | movie:The Internship (2026):2026 | movie:ftp_7:2026 | movie:The Internship: | movie:The Internship (2026):
movie	ftp_8	Teen Spirit (2018)	2026	2018	MISS		movie:Teen Spirit:2018 | movie:Teen Spirit:2026 | movie:Teen Spirit (2018):2018 | movie:Teen Spirit (2018):2026 | movie:ftp_8:2018 | movie:ftp_8:2026 | movie:Teen Spirit: | movie:Teen Spirit (2018):
movie	ftp_9	Mary (2024)	2026	2024	HIT_EXACT	movie:Mary:2026	movie:Mary:2024 | movie:Mary:2026 | movie:Mary (2024):2024 | movie:Mary (2024):2026 | movie:ftp_9:2024 | movie:ftp_9:2026 | movie:Mary: | movie:Mary (2024):
